index,Rótulos de Linha,cleaned_text,Contagem de Publication Number
40,"Fundacao De Amparo A Pesquisa Do Estado De Minas Gerais - Fapemig,30330-080 Minas Garais,BR,101073528 | Universidade Federal De Viçosa,CEP-36570-000 Viçosa MG,BR,101289180",FUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_MINAS_GERAIS___FAPEMIG,2
41,"Fundação De Amparo À Pesquisa Do Estado De Minas Gerais - Fapemig,BR | Universidade Federal De Viçosa | 米纳斯吉拉斯州研究基金会-FAPEMIG | 维索萨联邦大学",FUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_MINAS_GERAIS___FAPEMIG,1
42,"FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,BR | UNIVERSIDADE FEDERAL DE VIÇOSA,BR",FUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_MINAS_GERAIS___FAPEMIG,1
43,"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,BR | UNIVERSIDADE FEDERAL DE VIÇOSA,BR",FUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_MINAS_GERAIS___FAPEMIG,4
44,"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO - FAPESP,BR",FUNDACAO_DE_AMPARO_A_PESQUISA_DO_ESTADO_DE_SAO_PAULO___FAPESP,1
45,"FUNDACAO DE AMPARO A PESQUISA,BR",FUNDACAO_DE_AMPARO_A_PESQUISA,1
46,"Fundacao Hemocentro de Ribeirao Preto,14051-140 Ribeirao Preto - SP,BR,101138471 | Universidade de São Paulo,05508-900 São Paulo - SP,BR,101138472",FUNDACAO_HEMOCENTRO_DE_RIBEIRAO_PRETO,1
47,"FUNDAÇÃO HEMOCENTRO DE RIBEIRÃO PRETO,BR",FUNDACAO_HEMOCENTRO_DE_RIBEIRAO_PRETO,2
48,"FUNDACAO HEMOCENTRO DE RIBEIRAO PRETO,PRETO-SP,BR | UNIVERSIDADE DE SAO PAULO,SAO PAULO,BR",FUNDACAO_HEMOCENTRO_DE_RIBEIRAO_PRETO,1
49,"Fundacao Hemocentro de Ribeirao Preto,Ribeirao Preto,BR | Universidade de Sao Paulo,Sao Paulo - SP,BR",FUNDACAO_HEMOCENTRO_DE_RIBEIRAO_PRETO,1
